"feature_id_full","feature_id","feature_mz","feature_rt","WT_vs_xthA1_p_value","WT_vs_xthA2_p_value","WT_vs_xthB1_p_value","xthA1_vs_xthA2_p_value","xthA1_vs_xthB1_p_value","xthA2_vs_xthB1_p_value","WT_vs_xthA1_p_value_minus_log10","WT_vs_xthA2_p_value_minus_log10","WT_vs_xthB1_p_value_minus_log10","xthA1_vs_xthA2_p_value_minus_log10","xthA1_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_fold_change","xthA1_vs_xthB1_fold_change","WT_vs_xthB1_fold_change","xthA1_vs_xthA2_fold_change","WT_vs_xthA2_fold_change","WT_vs_xthA1_fold_change","xthA2_vs_xthB1_fold_change_log2","xthA1_vs_xthB1_fold_change_log2","WT_vs_xthB1_fold_change_log2","xthA1_vs_xthA2_fold_change_log2","WT_vs_xthA2_fold_change_log2","WT_vs_xthA1_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"537_275.08_3",537,275.07504327414,3.0099168,0.0255980323189515,0.0942204612688581,3.28982747710427e-08,0.871873865888957,6.51726846601086e-07,3.13134251084257e-07,1.59179341694849,1.02585477394591,7.48282687642881,0.0595463399650044,6.18593438873194,6.50426942601664,1.58847709837509,1.5305840198424,1.82514270861484,0.963554351150607,1.14898899737481,1.19244855882055,0.667644290366881,0.614082242305561,0.86800927328668,-0.0535620480613209,0.200364982919798,0.253927030981119,"Carbohydrates","Nucleosides","Purine nucleosides","Deoxyinosine",NA,NA,"C1C(C(OC1N2C=NC3=C2N=CNC3=O)CO)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)","VGONTNSXDCQUGY"
"396_252.11_2.2",396,252.109113274438,2.1640906,0.0292788870885758,0.731676013543897,0.0807135823773726,0.167848629613619,0.933756627727394,0.388896991891857,1.53344543514357,0.135681182162557,1.09305337661375,0.7750822001632,0.0297663025792548,0.410165416096099,1.24682954182643,0.934126072879154,1.47567917817803,0.749201106921792,1.1835452471044,1.57974305719752,0.318264243057618,-0.098310820709278,0.561379104622604,-0.416575063766896,0.243114861564986,0.659689925331882,"Fatty acids","Monoterpenoids","Thia fatty acids","1,6-Hexanedithiol diacetate","C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O",NA,"CC(=O)SCCCCCCSC(=O)C","InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)",NA,"OLXZPDWKRNYJJZ-UHFFFAOYSA-N","OLXZPDWKRNYJJZ",NA,NA,NA,"InChI=1S/C10H18O2S2/c1-9(11)13-7-5-3-4-6-8-14-10(2)12/h3-8H2,1-2H3","CFIOOCBLOLNSED"
"858_253.08_6.3",858,253.081881623925,6.280925,0.0372836645033036,0.00575898634705518,0.641798196690028,0.713006520763313,0.261524717857081,0.0462033381813282,1.42848140867454,2.23965395105954,0.192601507509555,0.146906498312826,0.582487257765653,1.33532664562662,0.771048633069606,0.839287869169987,1.133292481397,1.08850185730661,1.46980674472539,1.35030246835066,-0.375106235427236,-0.252762366233918,0.180520241569875,0.122343869193319,0.555626476997111,0.433282607803792,"Alkaloids","Anthranilic acid alkaloids","Anthranillic acid derivatives","3-[[(Z)-3-carboxylatoprop-2-enoyl]amino]benzoate",NA,NA,"C1=CC(=CC(=C1)NC(=O)C=CC(=O)O)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C11H9NO5/c13-9(4-5-10(14)15)12-8-3-1-2-7(6-8)11(16)17/h1-6H,(H,12,13)(H,14,15)(H,16,17)","UXIAYWKXDXAWJB"
"484_435.17_2.7",484,435.165723044816,2.7318864,0.0546188730385967,0.0286720041434839,0.999725096853966,0.981755117933881,0.063709505913942,0.0335433532165748,1.26265726498296,1.54254194925667,0.000119405332583209,0.00799682605484522,1.19579576298703,1.47439352459628,0.70074943467067,0.72593876088528,1.01213374280194,1.03594626690844,1.44435898585864,1.39424121887038,-0.513029419522778,-0.462080245142261,0.0173999395662136,0.0509491743805174,0.530429359088991,0.479480184708474,"Carbohydrates","Nucleosides","Purine nucleosides","(2R,3S,4R,5R)-2-[(R)-3-bicyclo[4.2.0]octa-1(6),2,4-trienyl(hydroxy)methyl]-5-[4-(ethoxyamino)pyrrolo[2,3-d]pyrimidin-7-yl]oxolane-3,4-diol","COc1cc(CNc2nc3c(ncn3[C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)[nH]2)cc(OC)c1O",NA,"CCONC1=C2C=CN(C2=NC=N1)C3C(C(C(O3)C(C4=CC5=C(CC5)C=C4)O)O)O","InChI=1S/C19H23N5O7/c1-29-11-3-9(4-12(30-2)16(11)27)6-20-19-22-17-15(18(28)23-19)21-8-24(17)14-5-10(26)13(7-25)31-14/h3-4,8,10,13-14,25-27H,5-7H2,1-2H3,(H2,20,22,23,28)/t10-,13+,14+/m0/s1","InChI=1S/C19H23N5O7/c1-29-10-3-9(4-11(30-2)14(10)26)5-20-17-13-18(22-7-21-17)24(8-23-13)19-16(28)15(27)12(6-25)31-19/h3-4,7-8,12,15-16,19,25-28H,5-6H2,1-2H3,(H,20,21,22)/t12-,15-,16-,19-/m1/s1 [M+H]+","QWHLQMANSLVIFM-ZLKJLUDKSA-N","QWHLQMANSLVIFM",NA,NA,NA,"InChI=1S/C21H24N4O5/c1-2-29-24-19-14-7-8-25(20(14)23-10-22-19)21-17(28)16(27)18(30-21)15(26)13-6-4-11-3-5-12(11)9-13/h4,6-10,15-18,21,26-28H,2-3,5H2,1H3,(H,22,23,24)","OVNZGAVBPJQRGY"
"695_248.09_4.4",695,248.087706207324,4.3815503,0.0936270433522954,0.0373513118493639,0.116753495613858,0.948219694966459,0.999095999766372,0.906039258141556,1.02859869098067,1.42769414032958,0.932730107737586,0.0230910284239126,0.000392779876414674,0.0428529841941938,0.929917735143641,0.985200130009875,1.38313615322821,1.05944869398334,1.48737474397621,1.40391389637185,-0.104825000548181,-0.0215112766682422,0.467943179567839,0.0833137238799387,0.57276818011602,0.489454456236081,"Alkaloids","Small peptides","Aminoacids","2,2-difluoro-N'-(2-methoxyethylsulfamoyl)propane-1,3-diamine",NA,"O=C1C=C2Nc3cc(CO)ccc3O[C@H]2[C@@H]1CO","COCCNS(=O)(=O)NCC(CN)(F)F",NA,NA,NA,NA,"PJLBDIIUBQPQGJ","InChI=1S/C13H13NO4/c15-5-7-1-2-12-9(3-7)14-10-4-11(17)8(6-16)13(10)18-12/h1-4,8,13-16H,5-6H2/t8-,13+/m1/s1","PJLBDIIUBQPQGJ-OQPBUACISA-N","InChI=1S/C6H15F2N3O3S/c1-14-3-2-10-15(12,13)11-5-6(7,8)4-9/h10-11H,2-5,9H2,1H3","FKTYQIONZRQTJM"
"492_191.07_2.8",492,191.067624938232,2.7573314,0.094656617862758,0.945221411897984,0.103461997553394,0.225709058122848,0.00122316947955514,0.0406767358693356,1.02384901719089,0.024466448948454,0.98521914086951,0.646451011529987,2.91251336394805,1.39065390458931,0.747678845321742,0.640635685894523,0.782751470733484,0.856832702841611,1.04690867694224,1.22183557358426,-0.419509380597214,-0.642423930822368,-0.35337378080108,-0.222914550225154,0.0661355997961348,0.289050150021289,"Alkaloids","Pseudoalkaloids (transamidation)","Purine alkaloids","7-oxo-8H-pteridine-2-carbonitrile",NA,"N=c1[nH]cc(C(O)C(Cl)CN)[nH]1","C1=C2C(=NC(=N1)C#N)NC(=O)C=N2",NA,NA,NA,NA,"YILCGOCHVFQMTC","InChI=1S/C6H11ClN4O/c7-3(1-8)5(12)4-2-10-6(9)11-4/h2-3,5,12H,1,8H2,(H3,9,10,11)","YILCGOCHVFQMTC-UHFFFAOYSA-N","InChI=1S/C7H3N5O/c8-1-5-10-2-4-7(11-5)12-6(13)3-9-4/h2-3H,(H,10,11,12,13)","UOZWIOHUKKUNQQ"
"412_675.42_2.3",412,675.423520136755,2.2647529,0.10204493289425,0.0412189841693912,1.9447865197364e-05,0.949480497179097,0.000731600031085855,0.00173099209245797,0.991208555579973,1.38490271549383,4.71112806446109,0.0225139514688151,3.13572628474235,2.76170491607014,0.685062289424579,0.662488445044058,0.572245104535291,0.9670484790522,0.83531835479654,0.863781261116539,-0.545692923517357,-0.594032803226826,-0.805294879077337,-0.0483398797094692,-0.25960195555998,-0.211262075850511,"Polyketides","Linear polyketides","Open-chain polyketides","2,3-Bis[(1,9-dioxononyl)oxy]propyl (9Z)-9-hexadecenoate",NA,"CCCCCCCCC(Cl)CCCCCc1cc(O)c(CCCCCC(Cl)CCCCCC)c(O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c1","CCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=O)OC(=O)CCCCCCCC=O",NA,NA,NA,NA,"IWIZOMWAHIZTOM","InChI=1S/C37H64Cl2O6/c1-3-5-7-9-10-15-21-30(39)22-16-11-13-19-28-25-32(40)31(24-18-12-17-23-29(38)20-14-8-6-4-2)34(26-28)45-37-36(43)35(42)33(41)27-44-37/h25-26,29-30,33,35-37,40-43H,3-24,27H2,1-2H3/t29?,30?,33-,35+,36-,37+/m1/s1","IWIZOMWAHIZTOM-ZQWJTRQNSA-N","InChI=1S/C37H64O8/c1-2-3-4-5-6-7-8-9-10-11-12-17-22-27-35(40)43-32-34(45-37(42)29-24-19-14-16-21-26-31-39)33-44-36(41)28-23-18-13-15-20-25-30-38/h7-8,30-31,34H,2-6,9-29,32-33H2,1H3","SBZJWHMLHGJSDV"
"413_710.46_2.3",413,710.460699986403,2.2627213,0.103848932869744,0.128250180499788,2.24387882724608e-05,0.999187114751956,0.000859692600414741,0.000700273629876236,0.983597961826647,0.891942014988023,4.64900059932286,0.000353175142533408,3.06565681132488,3.15473222752159,0.64569298862077,0.651125336589372,0.55871033221369,1.0084132057562,0.865287903167604,0.858068793851953,-0.631079733493543,-0.618992817131861,-0.839827594631898,0.0120869163616821,-0.208747861138355,-0.220834777500037,"Polyketides","Linear polyketides","Open-chain polyketides","17-(4-amino-3-methylbutyl)-9,27-dihydroxy-6,10,13,27-tetramethyl-14-(4-methyl-5-oxo-2,5-dihydrofuran-2-yl)-22-methylidene-28,29,30-trioxapentacyclo[22.3.1.1¹,⁴.1⁴,⁷.0¹²,¹⁷]triaconta-10,13-dien-18-one",NA,NA,"CC1CC23CCC4(O2)C(CCC(O4)CC(=C)CCCC(=O)C5(CCC(=C(C5C=C(C(CC1O3)O)C)C)C6C=C(C(=O)O6)C)CCC(C)CN)(C)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C42H63NO8/c1-25-9-8-10-37(45)40(15-11-26(2)24-43)16-13-32(36-21-28(4)38(46)48-36)30(6)33(40)20-27(3)34(44)22-35-29(5)23-41(50-35)17-18-42(51-41)39(7,47)14-12-31(19-25)49-42/h20-21,26,29,31,33-36,44,47H,1,8-19,22-24,43H2,2-7H3","TYMNWMCNMIHOHP"
"242_718.5_1.3",242,718.502280111982,1.318632,0.124855125892035,0.0652447812923334,0.0271413173923566,0.979086513714538,0.000463452584992585,0.000256372183681353,0.903593623108963,1.18545422033578,1.56636907626562,0.00917893151779916,3.33399469114066,3.59112909744119,0.597723597714101,0.613371330156143,0.732994415459348,1.0261788768285,1.22630998384967,1.19502555698642,-0.74244959439743,-0.705167360314049,-0.448125888096892,0.0372822340833805,0.294323706300537,0.257041472217157,"Fatty acids","Glycerophospholipids","Glycerophosphocholines","[O-(1-O,2-O-Dipalmitoyl-L-glycero-3-phospho)-2-isocyanatoethanol]anion","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC(=O)C=CC(=O)O",NA,"CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN=C=O)OC(=O)CCCCCCCCCCCCCCC","InChI=1S/C36H66NO11P/c1-5-6-7-8-9-10-11-12-13-14-15-18-21-24-35(41)45-30-33(31-47-49(43,44)46-29-28-37(2,3)4)48-36(42)25-22-19-16-17-20-23-32(38)26-27-34(39)40/h26-27,33H,5-25,28-31H2,1-4H3,(H-,39,40,43,44)",NA,"XWKBYMQTSGGZLW-UHFFFAOYSA-N","XWKBYMQTSGGZLW",NA,NA,NA,"InChI=1S/C38H72NO9P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37(41)45-33-36(34-47-49(43,44)46-32-31-39-35-40)48-38(42)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h36H,3-34H2,1-2H3,(H,43,44)","CAPMEHZZARNFJN"
"495_631.12_2.8",495,631.123321017508,2.8003232,0.141021902878822,0.000555320773332424,0.241160239824463,0.0291470638867044,0.00452417124501392,3.14792938905795e-05,0.850713429467538,3.25545608021931,0.617694292917529,1.5354051871151,2.34446096489665,4.50197501782709,0.574017394905249,0.702687783163744,0.837127981991913,1.22415764644159,1.45836692306179,1.19132280658541,-0.800833638189725,-0.509044278611499,-0.256479892816251,0.291789359578226,0.544353745373475,0.252564385795249,"Carbohydrates","Nucleosides","Purine nucleosides","1,3-Bis[3-(2,4-dinitrophenoxy)-2-hydroxypropyl]-5,5-dimethylimidazolidine-2,4-dione",NA,NA,"CC1(C(=O)N(C(=O)N1CC(COC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])O)CC(COC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C23H24N6O14/c1-23(2)21(32)24(9-15(30)11-42-19-5-3-13(26(34)35)7-17(19)28(38)39)22(33)25(23)10-16(31)12-43-20-6-4-14(27(36)37)8-18(20)29(40)41/h3-8,15-16,30-31H,9-12H2,1-2H3","WVYHBZGERUOQSU"
"480_404.14_2.7",480,404.142597719756,2.7134209,0.143215118086808,0.0267468799391357,0.902299699091925,0.758540446252716,0.385202516111845,0.0865070857213488,0.844011134576201,1.57272687174542,0.044649187465254,0.120021257176458,0.414310884761622,1.06294831838895,0.766693798415629,0.839869413617541,1.08494274087343,1.09544307695345,1.41509262643765,1.29179932413575,-0.383277584577057,-0.251763065772088,0.117618904754762,0.131514518804969,0.500896489331819,0.36938197052685,"Carbohydrates","Nucleosides","Purine nucleosides","(2R,5R)-2-[1-(6-aminopurin-9-yl)-6-hydroxy-6H-purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",NA,NA,"C1=NC(=C2C(=N1)N(C=N2)N3C=NC4=C(C3O)N=CN4C5C(C(C(O5)CO)O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C15H17N9O5/c16-11-7-13(18-2-17-11)23(4-20-7)24-5-21-12-8(14(24)28)19-3-22(12)15-10(27)9(26)6(1-25)29-15/h2-6,9-10,14-15,25-28H,1H2,(H2,16,17,18)","LNQHGCHNNFSFSY"
"856_123.06_6.3",856,123.055460773038,6.278667,0.155033068118046,0.00572237254933983,0.793268115786507,0.269663826748874,0.541613589968587,0.0286364280472901,0.809575658155691,2.24242387130258,0.100580001173621,0.569177306780273,0.266310447029116,1.54308115452398,0.760018248034219,0.884021690877569,1.09723207209279,1.1631585072649,1.44369174678472,1.2411822961081,-0.395894036814792,-0.177846326019996,0.133868697890305,0.218047710794796,0.529762734705098,0.311715023910302,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","Pyridin-4-ylmethanone",NA,NA,"C1=CN=CC=C1[C+]=O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C6H4NO/c8-5-6-1-3-7-4-2-6/h1-4H/q+1","GQTQLSCRSBJTTO"
"497_153.04_2.8",497,153.040709404702,2.8015249,0.166978215349791,0.000374224510838572,0.0687766758151139,0.0154526658643558,0.00145749439017051,8.54827921381585e-06,0.777340184963233,3.42686777062189,1.1625588187734,1.8109965861223,2.8363931081454,5.06812130084593,0.557882041753017,0.685150603294909,0.797146776241933,1.22812808446384,1.42888050982441,1.1634621241059,-0.841967983169513,-0.545506952441446,-0.327082707107744,0.296461030728067,0.514885276061769,0.218424245333702,"Alkaloids","Pseudoalkaloids (transamidation)","Purine alkaloids","8-hydroxy-2,3,6,7,8,9-hexahydro-1H-purine-2,6-dione",NA,NA,"C1(NC2=C(N1)NC(=O)NC2=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H6N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h4,6,11H,(H3,7,8,9,10,12)","KYKVXIJTQOYZLY"
