"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"343_662.44_2",343,662.439874260882,1.9519761,"C34H61O9P"
"344_651.57_2",344,651.567536436651,1.9609175,"C39H71NO5"
"346_160.13_2",346,160.133225119198,1.9649726,"C8H14O2"
"347_625.55_2",347,625.551465243923,1.9878836,"C37H69NO5"
"348_756.52_2",348,756.517862967992,1.9923348,"C43H71N3O9"
"349_648.42_2",349,648.423989897496,1.992451,"C33H64NO10P"
"350_706.47_2",350,706.46528407041,1.999951,"C36H68NO10P"
"351_760.55_2",351,760.547274005638,1.9992417,NA
"352_757.52_2",352,757.52131971294,1.9943144,"C41H65N5O7"
"353_623.54_2",353,623.536236550739,2.0080967,"C37H67NO5"
"354_634.41_2",354,634.408309328338,2.0310524,"C32H60NO9P"
"355_734.46_2",355,734.461134433006,2.0338054,"C42H65NO8"
"356_603.54_2",356,603.535080076713,2.035729,"C39H72O5"
"357_775.55_2",357,775.549273785659,2.0366776,"C42H79O10P"
"358_692.45_2",358,692.450314359684,2.0376081,"C35H66NO10P"
"359_792.58_2",359,792.575361399324,2.0376387,"C42H79O10P"
"360_597.52_2",360,597.520724907537,2.0452383,"C35H65NO5"
"361_595.51_2",361,595.505430538673,2.047171,"C35H63NO5"
"362_639.53_2.1",362,639.531072822798,2.0657575,"C40H72O4"
"363_575.5_2.1",363,575.503851621373,2.0666497,"C37H68O5"
"364_766.56_2.1",364,766.561684254579,2.0688846,"C40H77O10P"
"365_577.52_2.1",365,577.519524761934,2.0669324,"C37H70O5"
"366_702.47_2.1",366,702.471025626402,2.0690472,"C45H65N3O"
"367_608.39_2.1",367,608.392383654883,2.06855,"C32H55N3O9"
"368_703.47_2.1",368,703.47430757482,2.0678952,"C37H70N2O6S2"
"369_789.53_2.1",369,789.527963717149,2.0767012,"C45H68N6O6"
"370_549.49_2.1",370,549.488173846194,2.0887914,"C35H66O5"
"371_738.53_2.1",371,738.528598130669,2.088945,"C38H73O10P"
"373_569.49_2.1",373,569.489295639182,2.0901394,"C33H61NO5"
"378_736.51_2.1",378,736.51288472306,2.0977204,"C38H71O10P"
"379_547.47_2.1",379,547.472560866917,2.0997124,"C35H64O5"
"38_368.42_0.5",38,368.424906633551,0.49696064,"C25H53N"
"381_606.38_2.1",381,606.376832885945,2.096427,"C37H48O6"
"382_706.5_2.1",382,706.500700996695,2.1240551,"C42H69NO6"
"383_343.33_2.1",383,343.33187978245,2.1265388,"C20H39NO2"
