"feature_id_full","feature_id","feature_mz","feature_rt","WT_vs_xthA1_p_value","WT_vs_xthA2_p_value","WT_vs_xthB1_p_value","xthA1_vs_xthA2_p_value","xthA1_vs_xthB1_p_value","xthA2_vs_xthB1_p_value","WT_vs_xthA1_p_value_minus_log10","WT_vs_xthA2_p_value_minus_log10","WT_vs_xthB1_p_value_minus_log10","xthA1_vs_xthA2_p_value_minus_log10","xthA1_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_fold_change","xthA1_vs_xthB1_fold_change","WT_vs_xthB1_fold_change","xthA1_vs_xthA2_fold_change","WT_vs_xthA2_fold_change","WT_vs_xthA1_fold_change","xthA2_vs_xthB1_fold_change_log2","xthA1_vs_xthB1_fold_change_log2","WT_vs_xthB1_fold_change_log2","xthA1_vs_xthA2_fold_change_log2","WT_vs_xthA2_fold_change_log2","WT_vs_xthA1_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"227_136.06_1.9",227,136.061824649395,1.9457157,0.117092650631611,0.00311267594118292,0.000359417126302053,0.206287484524359,0.0217642424030593,0.55640646813039,0.931470362744049,2.50686609110092,3.44440123251011,0.685527119903188,1.66225644570839,0.25460783005129,0.886244740417428,0.751957557748457,0.638666208977053,0.848476186605383,0.720643158543583,0.849338107445019,-0.174222934449127,-0.411276859784728,-0.646865973530318,-0.237053925335602,-0.472643039081191,-0.23558911374559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147_161.18_0.7",147,161.178338539319,0.7125353,0.121082274564324,0.00448559718661456,4.50301727017433e-08,0.274333069212,7.3745975992523e-09,2.24327734166252e-09,0.916919429295772,2.3481797293008,7.34649638740815,0.561721837635556,8.132261672325,8.64911703024775,0.516682308254825,0.544072047703447,0.583647509224904,1.05301079408183,1.12960614269195,1.07273937650079,-0.952650609673078,-0.878130384621402,-0.776830770690094,0.0745202250516771,0.175819838982985,0.101299613931307,"Terpenoids","Monoterpenoids","Menthane monoterpenoids",NA,NA,NA,"CC(C)(C)C(C(C)(C)C)[O]",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H19O/c1-8(2,3)7(10)9(4,5)6/h7H,1-6H3","UBLZHALVUKEGGC"
"33_232.92_0.5",33,232.923107356181,0.49290952,0.155527849983697,0.00151186806762937,0.304278801052091,0.0771230775094387,0.968108896771413,0.0354724445075063,0.808191831645139,2.82048610566053,0.516728303661552,1.11281564872789,0.0140757887588028,1.45010888202313,0.769373768841462,0.95903094818794,1.21041683584498,1.24650850734366,1.57324942032746,1.26212489610688,-0.378243451901463,-0.0603507227337963,0.275503959439551,0.317892729167667,0.653747411341014,0.335854682173347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53_126.13_0.5",53,126.127957995135,0.50965524,0.173364936584995,0.0353419976600802,7.95901899941498e-10,0.779035731887054,2.04436689799081e-10,1.11734066443603e-10,0.761038734930635,1.45170890620928,9.09914045856836,0.10844262216635,9.68944115967548,9.95181439525635,0.529658419630854,0.540036238368435,0.565920951587724,1.01959341785752,1.068463996064,1.04793143752259,-0.916865839314077,-0.888871874351491,-0.821327544863445,0.0279939649625863,0.0955382944506323,0.0675443294880462,"Fatty acids","Fatty acyls","Hydrocarbons","1-Deuterio-1-prop-2-ynylcyclopentane",NA,NA,"C#CCC1CCCC1",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C8H12/c1-2-5-8-6-3-4-7-8/h1,8H,3-7H2","VBTCAHMANZTRMG"
"98_151.94_0.6",98,151.937430210582,0.60344297,0.176705005271238,0.00402643692079985,0.348308365390132,0.175270843098216,0.964284514418005,0.0816886567201353,0.752751148677208,2.39507910028772,0.458036094880996,0.756290324264082,0.0157948075793424,1.08783824537542,1.27405211890414,1.03917058153933,0.877737232914792,0.815642128073349,0.688933537247884,0.84465173332235,0.34942429654755,0.0554324944164609,-0.188138988280872,-0.293991802131089,-0.537563284828422,-0.243571482697334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75_156.04_0.6",75,156.042159152455,0.5587196,0.197037332536294,0.732935596965155,7.99800550438379e-05,0.696124382258603,0.00209974005491331,0.000362604988635939,0.705451480546794,0.134934185128956,4.09701830131244,0.157313154495324,2.6778344670301,3.44056622527593,0.625352804277044,0.672284420000412,0.586811967910253,1.07504822142378,0.938369451446936,0.872862661178275,-0.677257752510807,-0.572856378976373,-0.769029800105265,0.104401373534434,-0.0917720475944578,-0.196173421128892,"Amino acids and Peptides","Small peptides","Aminoacids","2-(Propan-2-ylazaniumyl)acetate",NA,NA,"CC(C)NCC(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H11NO2/c1-4(2)6-3-5(7)8/h4,6H,3H2,1-2H3,(H,7,8)","HEPOIJKOXBKKNJ"
"158_174.2_0.7",158,174.196501437544,0.7370028,0.197732581491123,0.0142770961462007,0.00832552400784481,0.438610200892153,0.000258391503679345,2.93461236040571e-05,0.703921763686028,1.84536011580386,2.07958842249989,0.357921272020888,3.58772177073052,4.53244925756973,0.567923877613113,0.622297515460933,0.716483177986396,1.0957410667013,1.26158312095919,1.15135150018348,-0.816230525632329,-0.68432360864817,-0.480995262445306,0.131906916984159,0.335235263187023,0.203328346202864,"Alkaloids","Pseudoalkaloids (transamidation)","Acetate-derived alkaloids","1-Piperidin-2-ylbutan-2-amine",NA,NA,"CCC(CC1CCCCN1)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H20N2/c1-2-8(10)7-9-5-3-4-6-11-9/h8-9,11H,2-7,10H2,1H3","MAUJJDMNCSGNBX"
"168_268.1_1",168,268.104048768297,1.0062627,0.243404558387263,0.039857829314686,0.977889805713365,0.69274173514755,0.416033428444952,0.0787398680227916,0.613671292729219,1.39948635697331,0.00971008127263439,0.159428646926062,0.380871772243665,1.10380531747342,0.744137621257403,0.831158155112272,1.05313204815662,1.11694145191561,1.4152382812968,1.26706577043013,-0.426358635993731,-0.266805071698706,0.0746863416597883,0.159553564295024,0.501044977653519,0.341491413358495,"Carbohydrates","Nucleosides","Purine nucleosides","Myocol","Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O",NA,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","\"\"InChI=1S/C11H14N4O4/c12-10-7-5(1-2-13-10)15(4-14-7)11-9(18)8(17)6(3-16)19-11/h1-2,4,6,8-9,11,16-18H,3H2,(H2,12,13)/t6-,8-,9-,11-/m1/s1\"\"","DBZQFUNLCALWDY-PNHWDRBUSA-N","DBZQFUNLCALWDY-PNHWDRBUSA-N","DBZQFUNLCALWDY",NA,NA,NA,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","OIRDTQYFTABQOQ"
"160_193.07_0.9",160,193.068104716594,0.8650151,0.254869812986282,0.0313161955950728,0.000458525960917888,0.593915588571642,0.0119165808182351,0.108002858558223,0.593681599720357,1.50423100307713,3.33863607032285,0.226275275595521,1.92384833727916,0.966564749701631,1.21989261812621,1.37319337778303,1.7020230621684,1.12566742136065,1.3952236753287,1.2394634941484,0.286754159169285,0.457534805036254,0.76725058546722,0.17078064586697,0.480496426297935,0.309715780430965,"Amino acids and Peptides","Small peptides","Aminoacids","S-2-(Boronoethyl)-L-cysteine","C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N",NA,"[B-](CCSCC(C(=O)O)N)(O)(O)O","InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",NA,"ZJUKTBDSGOFHSH-WFMPWKQPSA-N","ZJUKTBDSGOFHSH",NA,NA,NA,"InChI=1S/C5H13BNO5S/c7-4(5(8)9)3-13-2-1-6(10,11)12/h4,10-12H,1-3,7H2,(H,8,9)/q-1","XLVRIIJULVQAMP"
"83_140.07_0.6",83,140.068391294864,0.5651163,0.264192472626444,0.263373028110685,0.000196034222069041,0.999999996112645,0.00431154114961618,0.00432753431581068,0.578079560466267,0.579428702959939,3.70766810640687,1.68825668149072e-09,2.36536746461009,2.36375947963786,0.658241024516699,0.658129535758871,0.571654599979194,0.99983062623921,0.868457872857318,0.868604991751411,-0.603312150433008,-0.603556525813729,-0.806784376918826,-0.000244375380721125,-0.203472226485818,-0.203227851105097,"Amino acids and Peptides","Small peptides","Aminoacids","(carboxymethyl)trimethylazanium",NA,NA,"C[N+](C)(C)CC(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3/p+1","KWIUHFFTVRNATP"
