	WT_vs_xthA1_fold_change_log2	WT_vs_xthA1_p_value	WT_vs_xthA2_fold_change_log2	WT_vs_xthA2_p_value	WT_vs_xthB1_fold_change_log2	WT_vs_xthB1_p_value	xthA1_vs_xthA2_fold_change_log2	xthA1_vs_xthA2_p_value	xthA1_vs_xthB1_fold_change_log2	xthA1_vs_xthB1_p_value	xthA2_vs_xthB1_fold_change_log2	xthA2_vs_xthB1_p_value
8-(3-Oxo-2-(pent-2-enyl) cyclopentenyl)octanoic acid	-0.158584897481662	0.915045267900487	-0.113659255689081	0.964276688022017	0.0360752441435414	0.998540663368531	0.0449256417925806	0.997960387912617	0.194660141625203	0.851891456982605	0.149734499832623	0.921405568429954
11E,17-Octadecadien-9-ynoic acid	-0.096023648830252	0.978931629736849	-0.180845840828688	0.88982458694091	0.000476573309196137	0.999999996946696	-0.0848221919984362	0.987704465645574	0.0965002221394483	0.978620933853874	0.181322414137884	0.889031401674828
nipecotic acid	0.0763063900824424	0.833465968830784	0.191597659589005	0.177700518295251	0.894061178998176	7.92544744276924e-08	0.115291269506563	0.545285845124686	0.817754788915733	1.66069583418249e-07	0.702463519409171	5.9904969085256e-07
Grandisin	0.108971634500964	0.923636991936832	-0.11368282884962	0.930424683923819	-0.0131122602445572	0.999860927847975	-0.222654463350583	0.627153071241137	-0.122083894745521	0.898293863456649	0.100570568605063	0.950761275287385
9-cis,11-trans-octadecadienoate	-0.15646015765701	0.926036618271404	-0.0781898201659971	0.988671991838771	0.0100184837590823	0.999972685130606	0.0782703374910133	0.990298347408247	0.166478641416093	0.911998433424927	0.0882083039250792	0.983773044516291
(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	-0.139317835629837	0.948074677240963	0.0161235491870012	0.999892363432473	0.0307885731274029	0.99924310505854	0.155441384816838	0.929033763445126	0.17010640875724	0.908644031546318	0.0146650239404017	0.999916350507315
stearolic acid	-0.177451149302492	0.887575106288597	-0.0774240007624843	0.987577728051587	0.00288450857501014	0.999999266956472	0.100027148540008	0.978227076779985	0.180335657877502	0.882552237200259	0.0803085093374943	0.986147456401742
11-Oxooctadecanoic acid	-0.219016835738858	0.831062746967125	-0.104190611386544	0.974122570654054	0.0174691017148862	0.999850364844223	0.114826224352314	0.972507629429717	0.236485937453744	0.794548514902783	0.12165971310143	0.959285054411827
4-hydroxycinnamyl alcohol 4-beta-D-glucoside	-0.0435425023399683	0.998015972977166	-0.0655812117967009	0.993488170419242	-0.0175841498954781	0.999864173747898	-0.0220387094567326	0.99975713615896	0.0259583524444902	0.999583458468558	0.0479970619012227	0.997456378643928
Chivosazole E	0.0847922761406888	0.97544626280916	-0.0955385915440592	0.971147412342342	0.0257260031793242	0.999307778730831	-0.180330867684748	0.831207755232799	-0.0590662729613647	0.991135604691323	0.121264594723384	0.942596908601334
farnesyl acetone	-0.114256150187811	0.958873055866269	-0.153007514742489	0.912426384965237	-0.0392968058443566	0.998006542933344	-0.0387513645546781	0.998488168007573	0.0749593443434542	0.988113110273774	0.113710708898132	0.962365192996669
17beta-hydroxy-5beta-estran-3-one	-0.113817036942273	0.918532592947186	-0.326554761191492	0.366725976328617	-0.200898813277619	0.702537322010862	-0.21273772424922	0.718175823634823	-0.0870817763353463	0.967673180381134	0.125655947913873	0.927600546612488
Kalihinol A	0.235406433695189	0.62751026029343	0.0233664525155063	0.999464012872861	0.128758640057621	0.916371906072519	-0.212039981179683	0.692627698541846	-0.106647793637568	0.937168553645232	0.105392187542115	0.950218562525702
PE(16:1(9Z)/0:0)	0	1	0	1	0.898689214657375	4.52409221196604e-11	0	1	0.898689214657375	4.52409221196604e-11	0.898689214657375	4.52409221196604e-11
oleoyl ethanolamide	-0.14383272184808	0.90126624030973	-0.248505212390237	0.673013348307231	-0.14877875021971	0.892722898716205	-0.104672490542157	0.967061710479703	-0.00494602837162981	0.99999576087817	0.0997264621705275	0.971405349931052
linoleoyl ethanolamide	-0.116319258124233	0.971022865276426	-0.18034568136865	0.909371331765122	0.0192903298467698	0.999834445924352	-0.0640264232444169	0.995731360995158	0.135609587971003	0.954632786902524	0.19963601121542	0.880126491374185
1-hexadecanoyl-sn-glycero-3-phosphoethanolamine zwitterion	0	1	0	1	0.803706414895928	1.344325430086e-06	0	1	0.803706414895928	1.344325430086e-06	0.803706414895928	1.344325430086e-06
1-oleoyl phosphatidylethanolamine	-0.114769058266454	0.922791278339699	0.002873554320629	0.999998368751762	-0.508834180773617	0.125755221590397	0.117642612587083	0.917337673747027	-0.394065122507163	0.320834239372952	-0.511707735094246	0.122483804573882
glycine betaine	-0.203227851105097	0.264192472626444	-0.203472226485818	0.263373028110685	-0.806784376918826	0.000196034222069041	-0.000244375380721125	0.999999996112645	-0.603556525813729	0.00431154114961618	-0.603312150433008	0.00432753431581068
