formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C18H28O	[M + H3N + H]+	C18H32NO+	0.983	0.246	43.319	43.319	0.000	9	0.111	0.269	0.269	0.176		278.248	331	5.510	836961202140542127	836961018392270595	836961018392270594	465	
1	C18H30O2	[M + H3N + H]+	C18H34NO2+	1.000	0.333	209.611	205.919	3.692	23	0.594	1.264	1.539	-0.256		296.258	331	5.514	836961221937659125	836961018358716159	836961018358716158	464	
1	C18H35NO3	[M - H2O + H]+	C18H34NO2+	0.799	0.023	63.495	63.495	0.000	14	0.234	0.038	0.233	-60793.701		296.258	331	5.522	836961198109815521	836961018664900387	836961018664900386	473	
1	C12H26NO2	[M + K]+	C12H26KNO2+	1.000	1.000	62.247	62.247	0.000	18	0.255	-0.040	1.992	-1.792		255.159	332	5.526	836961205424682479	836961018421630727	836961018421630726	466	
1	C16H29N7O2	[M - H2O + H]+	C16H28N7O+	0.800	0.144	11.364	8.269	3.095	1	0.036	-0.230	0.505	-53885.604		334.235	332	5.527	836961195148636535	836961018564237079	836961018564237078	470	
1	C20H35N3O5S	[M + K]+	C20H35KN3O5S+	0.607	0.999	125.090	125.090	0.000	42	0.765	-0.065	0.836	-3.536		468.191	332	5.531	836961240023500480	836961018492933903	836961018492933902	468	
1	C22H33ClO5	[M + K]+	C22H33ClKO5+	0.999	0.999	95.095	95.095	0.000	30	0.881	-1.434	1.657	-0.487		451.165	332	5.533	836961248105925339	836961018459379467	836961018459379466	467	
1	C11H26ClN2O4	[M - H2O + H]+	C11H25ClN2O3+	0.364	0.324	86.739	86.739	0.000	22	0.332	-1.729	2.356	-67166.716		268.154	333	5.544	836961254988779122	836961018526488339	836961018526488338	469	
1	C18H28O2	[M + H3N + H]+	C18H32NO2+	1.000	0.333	255.950	252.049	3.901	52	0.888	0.285	1.221	0.015		294.243	333	5.556	836961198927704849	836961018597791515	836961018597791514	471	
1	C17H37NO5S	[M + K]+	C17H37KNO5S+	0.446	0.410	106.275	106.275	0.000	30	0.575	-0.040	0.836	0.573		406.203	333	5.558	836961207052072633	836961018631345951	836961018631345950	472	
1	C18H33NO3	[M - H2O + H]+	C18H32NO2+	0.998	0.330	58.007	58.007	0.000	13	0.216	0.149	0.159	-61209.868		294.243	334	5.567	836961202350257345	836961018698454823	836961018698454822	474	
1	C15H33N3O6	[M - H2O + H]+	C15H32N3O5+	0.577	0.333	93.644	93.644	0.000	28	0.538	-0.141	0.302	-53881.618		334.235	336	5.604	836961326338089134	836961018732009259	836961018732009258	475	
1	C19H35NO4	[M + H3N + H]+	C19H39N2O4+	0.999	0.333	92.176	88.630	3.546	13	0.658	0.500	1.435	-0.290		359.290	337	5.617	836961201150686264	836961018769757999	836961018769757998	476	
1	C12H14O3	[M - H2O + H]+	C12H13O2+	0.923	0.500	17.128	13.588	3.540	2	0.042	3.163	3.163	-95248.165		189.091	340	5.664	836961200068555722	836961018807506739	836961018807506738	477	
1	C12H12Br3ClFNO4S	[M + Na]+	C12H12Br3ClFNNaO4S+	0.466	0.439	82.300	82.300	0.000	23	0.600	-3.082	3.082	-1.676		579.759	341	5.678	836961212638886087	836961018841061175	836961018841061174	478	
1	C16H33N4O3	[M - H2O + H]+	C16H32N4O2+	0.587	0.333	80.643	80.643	0.000	20	0.479	0.137	0.208	-57675.615		312.253	342	5.697	836961198294364928	836961018874615611	836961018874615610	479	
1	C11H18O2	[M - H2O + H]+	C11H17O+	1.000	0.500	107.038	103.572	3.466	27	0.769	3.631	4.275	-109070.469		165.127	342	5.697	836961204170585394	836961018912364351	836961018912364350	480	
1	C6H6ClF	[M + Na]+	C6H6ClFNa+	1.000	0.734	15.024	15.024	0.000	4	0.064	-2.357	3.502	-3.592		155.003	343	5.718	836961201951798397	836961018945918787	836961018945918786	481	
1	C9H17ClNO3	[M + H]+	C9H18ClNO3+	0.639	0.332	62.492	62.492	0.000	13	0.235	-2.493	3.029	-2.118		223.097	344	5.733	836961214576654782	836961019042387791	836961019042387790	484	
1	C9H17ClNO3	[M + Na]+	C9H17ClNNaO3+	1.000	1.000	88.725	88.725	0.000	21	0.454	1.237	3.034	-2.109		245.078	344	5.733	836961207630886667	836961018979473223	836961018979473222	482	
1	C7H13ClNO3	[M - H2O + H]+	C7H12ClNO2+	0.420	0.192	23.751	23.751	0.000	5	0.130	-2.536	2.804	-101725.718		177.055	344	5.734	836961212005546166	836961019013027659	836961019008833354	483	
1	C31H22O11	[M - H2O + H]+	C31H21O10+	0.647	0.498	14.508	10.822	3.686	3	0.239	0.747	0.925	-32561.350		553.113	344	5.737	836961205126886851	836961019113690967	836961019113690966	486	
1	C33H42O8	[M + H3N + H]+	C33H46NO8+	0.489	0.193	24.781	24.781	0.000	10	0.491	-0.175	0.599	0.678		584.322	344	5.737	836961220343823354	836961019080136531	836961019075942226	485	
1	C14H28O	[M + H3N + H]+	C14H32NO+	0.748	0.500	28.016	24.244	3.772	6	0.674	9.836	9.836	0.126		230.248	345	5.747	836961193038901355	836961019147245403	836961019147245402	487	
1	C17H37NO2	[M + H]+	C17H38NO2+	0.996	0.500	57.325	57.325	0.000	14	0.260	0.158	0.158	0.014		288.290	346	5.769	836961210902444146	836961019214354275	836961019214354274	489	
