#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
585	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.979096	0	0	4896590.0	900951.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf585	-1	BERKELEY-LAB.mgf	1.17598				7	0	0.000488281	415.212	0	CCMSLIB00010113136
636	spectra_filtered.mgf	*..*		:1	11312	-1	0	162.113	1	0.978499	0	0	16415400.0	306766.0	L-Carnitine M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf636	-1	GNPS-LIBRARY.mgf	3.29435				6	0	0.000534058	162.112	0	CCMSLIB00008851519
704	spectra_filtered.mgf	*..*		:53456	130407	-1	0	233.093	1	0.977635	0	0	134.447	3259390.0	1955548-88-5 [M-H]-	MSNLIB-NEGATIVE	temp/spectra_filtered.mgf704	-1	MSNLIB-NEGATIVE.mgf	290.783				6	0	0.0677795	233.161	0	CCMSLIB00012837044
250	spectra_filtered.mgf	*..*		:567	14856	-1	0	186.076	1	0.976423	0	0	1199070.0	1061630.0	N_ACETYLGLUCOSAMINE M-2H2O+H	GNPS-LIBRARY	temp/spectra_filtered.mgf250	-1	GNPS-LIBRARY.mgf	0.656024				7	0	0.00012207	186.076	0	CCMSLIB00013583114
676	spectra_filtered.mgf	*..*		:328	3097	-1	0	204.087	1	0.975145	0	0	1389080.0	593878.0	Spectral Match to N-Acetyl-D-glucosamine from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf676	-1	GNPS-NIST14-MATCHES.mgf	1.12149				7	0	0.000228882	204.087	0	CCMSLIB00003137584
846	spectra_filtered.mgf	*..*		:196	535	-1	0	230.095	1	0.973461	0	0	48018700.0	374745.0	L-Ergothioneine  (known structural isomers: 0; isobaric peaks in run: 0) [M+H]+	CMMC-FOOD-BIOMARKERS	temp/spectra_filtered.mgf846	-1	CMMC-FOOD-BIOMARKERS.mgf	3.31576				9	0	0.000762939	230.096	0	CCMSLIB00013576776
730	spectra_filtered.mgf	*..*		:471	4681	-1	0	188.07	1	0.972255	0	0	10238500.0	1634820.0	Spectral Match to Abrine from NIST14 M+H-CH3NH2	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf730	-1	GNPS-NIST14-MATCHES.mgf	3.32648				7	0	0.00062561	188.071	0	CCMSLIB00003139168
496	spectra_filtered.mgf	*..*		:48778	60777	-1	0	202.18	1	0.970246	0	0	940080.0	8549790.0	Massbank:AU252106 4-Hydroxy-1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidine|1-Piperidineethanol, 4-hydroxy-2,2,6,6-tetramethyl-|1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidin-4-ol M+H	MASSBANK	temp/spectra_filtered.mgf496	-1	MASSBANK.mgf	0.905656				8	0	0.000183105	202.18	0	CCMSLIB00005774329
669	spectra_filtered.mgf	*..*		:1322	52446	-1	0	118.086	1	0.970213	0	0	308.4	853196.0	BETAINE M+H	MONA	temp/spectra_filtered.mgf669	-1	MONA.mgf	16894.9				6	0	1.99505	120.081	0	CCMSLIB00006681475
609	spectra_filtered.mgf	*..*		:35368	35368	-1	0	282.12	1	0.968349	0	0	105.372	3406270.0	2'-O-Methyladenosine [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf609	-1	MSNLIB-POSITIVE.mgf	7014.33				6	0	1.97888	284.099	0	CCMSLIB00012338515
930	spectra_filtered.mgf	*..*		:10382	10382	-1	0	175.12	1	0.963828	0	0	17916.1	6755110.0	Massbank:PB000420 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf930	-1	MASSBANK.mgf	6.09933				6	0	0.00106812	175.119	0	CCMSLIB00000221715
924	spectra_filtered.mgf	*..*		:10382	10382	-1	0	175.12	1	0.963493	0	0	17916.1	8752520.0	Massbank:PB000420 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf924	-1	MASSBANK.mgf	6.09933				6	0	0.00106812	175.119	0	CCMSLIB00000221715
791	spectra_filtered.mgf	*..*		:142	49383	-1	0	146.165	1	0.961632	0	0	156.5	1443840.0	SPERMIDINE M+H	MONA	temp/spectra_filtered.mgf791	-1	MONA.mgf	1.25273				6	0	0.000183105	146.165	0	CCMSLIB00006678412
1134	spectra_filtered.mgf	*..*		:142	49383	-1	0	146.165	1	0.961157	0	0	156.5	9187660.0	SPERMIDINE M+H	MONA	temp/spectra_filtered.mgf1134	-1	MONA.mgf	1.25273				6	0	0.000183105	146.165	0	CCMSLIB00006678412
151	spectra_filtered.mgf	*..*		:8438	1178	-1	0	813.683	1	0.958238	0	0	690238.0	6171690.0	Spectral Match to N-Tetracosenoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf151	-1	GNPS-NIST14-MATCHES.mgf	1166.95				6	0	0.949524	814.633	0	CCMSLIB00003135664
582	spectra_filtered.mgf	*..*		:2037	47222	-1	0	268.104	1	0.95808	0	0	104.236	310684.0	Adenosine [M+H]+	MONA	temp/spectra_filtered.mgf582	-1	MONA.mgf	0.113827				6	0	3.05176e-05	268.104	0	CCMSLIB00004719822
800	spectra_filtered.mgf	*..*		:142	49383	-1	0	146.165	1	0.957868	0	0	156.5	1918790.0	SPERMIDINE M+H	MONA	temp/spectra_filtered.mgf800	-1	MONA.mgf	1.25273				6	0	0.000183105	146.165	0	CCMSLIB00006678412
27	spectra_filtered.mgf	*..*		:12077	12523	-1	0	637.302	1	0.956192	0	0	4882030.0	12093700.0	AC1L1X1Z CollisionEnergy:102040 M+Na	BERKELEY-LAB	temp/spectra_filtered.mgf27	-1	BERKELEY-LAB.mgf	5.55473				21	0	0.00354004	637.306	0	CCMSLIB00010114511
1098	spectra_filtered.mgf	*..*		:1	29	-1	0	182.985	1	0.955055	0	0	2.5763	238335.0	4-Hydroxyphenylpyruvic_acid M+H	WINE-DB-ORBITRAP	temp/spectra_filtered.mgf1098	-1	WINE-DB-ORBITRAP.mgf	10903.3				8	0	1.99513	180.99	0	CCMSLIB00013639059
327	spectra_filtered.mgf	*..*		:1028	13027	-1	0	343.296	1	0.953151	0	0	117732.0	719125.0	Massbank: Lauramidopropyl betaine|3-(Dodecanoylamino)propyl(carboxymethyl)dimethylammonium|carboxymethyl-[3-(dodecanoylamino)propyl]-dimethylazanium M	MASSBANK	temp/spectra_filtered.mgf327	-1	MASSBANK.mgf	1.60012				6	0	0.000549316	343.295	0	CCMSLIB00005726579
289	spectra_filtered.mgf	*..*		:126	1244	-1	0	249.107	1	0.952276	0	0	18175700.0	1762430.0	Creatinine 2M+Na	GNPS-NUTRI-METAB-FEM-POS	temp/spectra_filtered.mgf289	-1	GNPS-NUTRI-METAB-FEM-POS.mgf	3960.07				6	0	0.986481	250.093	0	CCMSLIB00006674196
561	spectra_filtered.mgf	*..*		:99969	200408	-1	0	189.087	0	0.951057	0	0	143.098	292285.0	Aceglutamide [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf561	-1	MSNLIB-POSITIVE.mgf	0.0806972				6	0	1.52588e-05	189.087	0	CCMSLIB00013038396
316	spectra_filtered.mgf	*..*		:387	49628	-1	0	153.055	1	0.950928	0	0	249.0	793597.0	4-HYDROXYPHENYL ACETIC ACID M+H	MONA	temp/spectra_filtered.mgf316	-1	MONA.mgf	12933.9				6	0	1.9796	151.075	0	CCMSLIB00006678657
