feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
1005	74	Terpenoids	Steroids	Cholestane steroids	0.25545993	ISDB	NACRYBSGHPQZTL-UVYZFVDISA-N	InChI=1S/C28H40O3/c1-17(2)7-8-18(3)23-11-12-24-22-10-9-20-15-21(30)13-14-27(20,5)25(22)16-26(28(23,24)6)31-19(4)29/h7-8,13-15,17-18,22-26H,9-12,16H2,1-6H3/b8-7+/t18-,22-,23+,24-,25-,26+,27-,28+/m0/s1	CC(=O)O[C@@H]1C[C@H]2[C@@H](CCC3=CC(=O)C=C[C@@]32C)[C@@H]2CC[C@H]([C@@H](C)/C=C/C(C)C)[C@@]12C	C28H40O3		424.29774514	NACRYBSGHPQZTL	Terpenoids	Steroids	Cholestane steroids	Gersemia rubiformis	463880.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Gersemia']	['Gersemia rubiformis']	0	3	2.521839737892151
999	-1				0.62218463	ISDB							MFWTZMQSTYTELL						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.488738536834717
998	10	Fatty acids	Fatty amides	Primary amides	0.7943771	ISDB	LBHQTVBKPMHICN-MDZDMXLPSA-N	InChI=1S/C20H39NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h9-10H,2-8,11-19H2,1H3,(H2,21,22)/b10-9+	CCCCCCCC/C=C/CCCCCCCCCC(N)=O	C20H39NO		309.303164868	LBHQTVBKPMHICN	Fatty acids	Fatty amides	Primary amides	Streptomyces	772892.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Unknown']	1	3	5.677508354187012
995	-1				0.56578606	ISDB	IKTUYWKAUCFSRW-UHFFFAOYSA-N	InChI=1S/C17H36N2O/c1-16(18)10-7-5-3-2-4-6-8-11-17-12-9-13-19(17)14-15-20/h16-17,20H,2-15,18H2,1H3	CC(N)CCCCCCCCCC1CCCN1CCO	C17H36N2O		284.282763772	IKTUYWKAUCFSRW	Alkaloids	Ornithine alkaloids		Epilachna borealis	199908.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Coleoptera']	['Coccinellidae']	['Epilachnini']	['Epilachna']	['Epilachna borealis']	0	0	2.2631442546844482
992	44	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.3155862	ISDB	PNCSOWDONJIHKJ-JLQMPFRESA-N	InChI=1S/C46H76O3/c1-9-10-11-12-13-14-15-16-17-18-19-20-21-22-39(47)49-38-25-26-42(6)35(41(38,4)5)23-27-43(7)36(42)24-28-46-37-33-40(2,3)29-31-45(37,34-48-46)32-30-44(43,46)8/h14-15,24,28,35-38H,9-13,16-23,25-27,29-34H2,1-8H3/b15-14-/t35-,36+,37+,38-,42-,43+,44-,45+,46-/m0/s1	CCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3C=C[C@]45OC[C@@]6(CCC(C)(C)C[C@H]64)CC[C@@]5(C)[C@]3(C)CC[C@H]2C1(C)C	C46H76O3		676.579446292	PNCSOWDONJIHKJ	Terpenoids	Triterpenoids	Oleanane triterpenoids	Tagetes erecta	717584.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Tageteae']	['Tagetes']	['Tagetes erecta']	0	3	2.7623448371887207
985	44	Terpenoids	Triterpenoids	Oleanane triterpenoids	0.28361338	ISDB	MFUYYGOZRNTPTI-JSGPFSQPSA-N	InChI=1S/C42H72O3/c1-10-11-12-13-14-15-16-17-18-19-36(44)45-35-23-24-40(7)32(38(35,4)5)22-25-41(8)33(40)21-20-30-31-28-37(2,3)26-27-39(31,6)34(43)29-42(30,41)9/h20,31-35,43H,10-19,21-29H2,1-9H3/t31-,32-,33+,34-,35-,39-,40-,41+,42+/m0/s1	CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@]5(C)[C@@H](O)C[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C	C42H72O3		624.548146164	MFUYYGOZRNTPTI	Terpenoids	Triterpenoids	Oleanane triterpenoids	Arnica lonchophylla	942730.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Madieae']	['Arnica']	['Arnica lonchophylla']	0	3	2.634453535079956
974	10	Fatty acids	Fatty amides	Primary amides	0.74899614	ISDB	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	Aeromonas veronii	704628.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Aeromonadales']	['Aeromonadaceae']	['Unknown']	['Aeromonas']	['Aeromonas veronii']	2	3	6.4959845542907715
972	-1				0.5826797	ISDB							XCADPUVJDQXSTQ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.330718755722046
969	10	Fatty acids	Fatty amides	Primary amides	0.66537565	ISDB							XCADPUVJDQXSTQ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.6615025997161865
962	-1				0.48682618	ISDB	ZXEVPUOHSXARBR-VIPLHTEESA-N	InChI=1S/C20H28O2/c1-12-14-10-13-6-7-17-19(2,3)8-5-9-20(17,4)15(13)11-16(14)22-18(12)21/h10,15-17H,5-9,11H2,1-4H3/t15-,16-,17-,20+/m1/s1	CC1=C2C=C3CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]3C[C@H]2OC1=O	C20H28O2		300.208930136	ZXEVPUOHSXARBR	Terpenoids	Diterpenoids	Cycloabietane diterpenoids	Euphorbia plumerioides	1009375.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia plumerioides']	0	0	1.9473047256469727
