CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
145	224	7	0.8492	15.066
159	224	7	0.8961	-0.152
163	224	7	0.8954	-0.152
175	224	7	0.9113	-0.152
177	224	7	0.8243	15.061
87	109	7	0.7746	6.058
87	89	7	0.8173	23.016
4	617	7	0.9339	0.000
63	617	7	0.9669	0.000
132	617	7	0.8712	27.995
146	617	7	0.9698	-0.000
147	617	7	0.821	0.997
156	617	7	0.9687	-0.008
260	617	7	0.8527	-0.047
58	145	7	0.941	0.000
58	147	7	0.9066	0.006
58	177	7	0.9044	0.006
23	358	7	0.8445	-2.088
23	518	7	0.9412	-2.148
56	142	7	0.9707	0.000
63	142	7	0.9136	14.016
116	142	7	0.9973	-0.199
142	146	7	0.8976	-14.016
142	156	7	0.8884	-14.008
142	159	7	0.9961	0.199
142	163	7	0.9976	0.199
142	175	7	0.993	0.199
56	68	7	0.8573	-27.995
68	132	7	0.8846	-14.016
56	132	7	0.877	-42.011
63	132	7	0.9092	-27.995
132	146	7	0.8955	27.995
132	156	7	0.885	28.003
17	18	7	0.8855	0.001
18	22	7	1.0	-0.006
87	931	7	0.794	107.885
4	156	7	0.9262	0.008
63	156	7	0.9914	0.008
146	156	7	0.9992	0.008
4	147	7	0.8389	-0.997
145	147	7	0.9861	0.006
147	177	7	0.9771	0.000
358	796	7	0.7861	-0.096
518	796	7	0.7848	-0.036
20	46	7	0.8992	-0.195
46	225	7	0.9866	0.047
213	240	7	0.9904	0.000
240	358	7	0.7843	3.034
240	518	7	0.8733	2.974
16	17	7	0.8162	-2.996
17	22	7	0.8855	-0.005
56	163	7	0.9648	0.199
63	163	7	0.9124	14.215
116	163	7	0.9997	-0.000
146	163	7	0.897	14.215
159	163	7	0.9984	0.000
163	175	7	0.9973	0.000
16	20	7	0.782	-1.997
20	225	7	0.9344	-0.148
16	169	7	0.9174	-1.124
16	182	7	0.9187	-1.124
56	116	7	0.9641	0.199
56	159	7	0.9628	0.199
56	175	7	0.946	0.199
4	146	7	0.9155	0.000
63	146	7	0.9954	0.000
116	146	7	0.8985	-14.215
146	159	7	0.8981	14.215
63	175	7	0.8998	14.215
116	175	7	0.9976	-0.000
159	175	7	0.9958	0.000
358	518	7	0.9333	-0.060
4	177	7	0.8418	-0.997
63	116	7	0.9139	14.215
116	159	7	0.9981	-0.000
213	518	7	0.8201	2.974
145	177	7	0.9708	0.006
518	1011	7	0.8011	19.173
825	1011	7	0.8377	0.000
856	1011	7	0.8411	0.000
825	856	7	0.9019	0.000
169	182	7	0.9998	-0.000
169	518	7	0.767	-41.052
182	518	7	0.7732	-41.052
63	159	7	0.9135	14.215
489	700	8	0.7384	-42.047
494	700	8	0.7425	-42.047
508	700	8	0.7537	-157.665
515	700	8	0.8233	-42.047
537	700	8	0.8856	-42.047
612	700	8	0.8456	-28.031
630	700	8	0.7601	-42.083
660	700	8	0.7405	-14.016
700	774	8	0.8665	-28.031
489	774	8	0.7231	-70.078
515	774	8	0.7494	-70.078
537	774	8	0.806	-70.078
612	774	8	0.7849	-56.063
641	774	8	0.7376	-42.047
494	641	8	0.7381	-28.031
612	641	8	0.7075	-14.016
489	630	8	0.7319	0.036
494	630	8	0.7259	0.036
515	630	8	0.813	0.036
537	630	8	0.7488	0.036
612	630	8	0.7364	14.052
489	494	8	0.7281	0.000
489	515	8	0.7921	0.000
489	537	8	0.7544	0.000
494	612	8	0.7123	-14.016
508	612	8	0.7668	-129.634
515	612	8	0.753	-14.016
537	612	8	0.8273	-14.016
494	515	8	0.7834	0.000
515	537	8	0.8191	0.000
494	537	8	0.7288	0.000
508	537	8	0.7345	-115.618
542	615	9	0.8875	-14.016
544	615	9	0.9366	0.000
571	615	9	0.8242	0.000
590	615	9	0.9427	-14.016
591	615	9	0.9228	-2.015
599	615	9	0.9335	0.000
603	615	9	0.9283	386.173
604	615	9	0.8689	-28.031
614	615	9	0.8128	-28.031
615	640	9	0.9351	-0.000
542	547	9	0.8103	14.016
544	547	9	0.8306	28.031
547	571	9	0.7746	-28.031
547	604	9	0.8625	-0.000
547	614	9	0.8032	-0.000
547	640	9	0.8346	-28.031
543	597	9	0.9807	-0.000
570	597	9	0.9173	-0.000
589	597	9	0.9442	-18.011
591	597	9	0.8063	43.042
597	599	9	0.8212	-45.057
597	604	9	0.8181	-17.026
597	623	9	0.9821	0.000
597	643	9	0.9668	0.000
544	571	9	0.8386	-0.000
571	590	9	0.8345	14.016
571	591	9	0.849	2.015
571	599	9	0.8336	0.000
571	603	9	0.8097	-386.173
571	640	9	0.823	0.000
589	659	9	0.8504	-18.010
659	898	9	0.798	-116.063
542	590	9	0.9186	0.000
544	590	9	0.9631	14.016
587	590	9	0.8161	13.004
590	591	9	0.9359	-12.000
590	599	9	0.9674	-14.016
590	603	9	0.9441	-400.189
590	604	9	0.8883	14.015
590	640	9	0.9563	-14.016
542	544	9	0.9325	-14.016
542	587	9	0.814	-13.004
542	591	9	0.9051	-12.000
542	599	9	0.9199	-14.016
542	603	9	0.8859	-400.189
542	604	9	0.8884	14.015
542	640	9	0.9329	-14.016
587	593	9	0.7913	-2.991
543	623	9	0.9803	0.000
570	623	9	0.918	0.000
589	623	9	0.9349	-18.010
623	643	9	0.9643	-0.000
623	898	9	0.8918	-116.063
543	589	9	0.9284	18.011
570	589	9	0.8827	18.011
589	643	9	0.9221	-18.010
589	898	9	0.8677	-134.073
543	570	9	0.9196	0.000
543	643	9	0.9651	0.000
543	898	9	0.8918	-116.063
544	599	9	0.9767	0.000
591	599	9	0.9521	-2.015
599	603	9	0.9515	-386.173
599	604	9	0.8844	28.031
599	640	9	0.9725	-0.000
544	603	9	0.949	-386.173
591	603	9	0.9141	-388.189
601	603	9	0.7429	-370.179
603	640	9	0.9326	386.173
570	643	9	0.9061	0.000
643	898	9	0.8859	-116.063
604	614	9	0.8236	0.000
570	898	9	0.8779	-116.063
544	604	9	0.8907	28.031
591	604	9	0.8711	26.016
604	640	9	0.8943	-28.031
544	591	9	0.9544	2.015
591	640	9	0.9406	-2.015
544	640	9	0.9699	-0.000
719	809	10	0.9006	-28.031
719	815	10	0.8585	-28.031
719	848	10	0.8137	-42.047
719	903	10	0.8611	-57.243
719	910	10	0.8289	-56.063
719	914	10	0.8626	14.015
719	920	10	0.8919	-0.000
719	932	10	0.846	-56.063
719	998	10	0.8488	-84.094
732	815	10	0.8076	28.031
743	815	10	0.822	28.031
809	815	10	0.8344	0.000
815	848	10	0.887	-14.016
815	914	10	0.85	42.047
815	920	10	0.9102	28.031
815	932	10	0.826	-28.031
815	998	10	0.8795	-56.062
815	1058	10	0.8912	-84.094
743	998	10	0.8543	-28.031
809	998	10	0.9111	-56.062
848	998	10	0.9033	-42.047
910	998	10	0.8991	-28.031
920	998	10	0.8576	-84.094
932	998	10	0.9409	-28.031
969	998	10	0.8794	-14.016
974	998	10	0.8322	28.031
809	848	10	0.8741	-14.016
848	903	10	0.818	-15.196
848	910	10	0.9197	-14.016
848	914	10	0.8595	56.062
848	920	10	0.9037	42.047
848	932	10	0.8666	-14.016
848	1058	10	0.8611	-70.078
910	1058	10	0.85	-56.062
920	1058	10	0.8176	-112.125
743	920	10	0.8418	56.062
910	920	10	0.8755	56.063
914	920	10	0.8206	-14.016
920	932	10	0.9013	-56.062
920	969	10	0.8264	-70.078
807	809	10	0.8369	1.003
809	903	10	0.9026	-29.211
809	914	10	0.8625	42.047
809	915	10	0.8422	-29.034
809	922	10	0.8229	-29.203
809	932	10	0.8393	-28.031
903	922	10	0.8586	0.008
915	922	10	0.8942	-0.169
807	903	10	0.8278	-28.208
847	903	10	0.8265	-14.192
903	910	10	0.8552	1.180
903	915	10	0.8279	0.178
910	914	10	0.8286	70.078
743	932	10	0.8444	-0.000
910	932	10	0.8709	0.000
932	969	10	0.8266	-14.016
932	974	10	0.8236	-56.062
807	915	10	0.806	-28.031
743	910	10	0.8408	-0.000
808	910	10	0.819	-45.058
37	81	11	0.813	10.029
79	81	11	0.808	-23.016
28	40	11	0.9261	0.998
32	40	11	0.9733	1.995
40	41	11	0.9374	29.955
40	149	11	0.9376	-1.995
32	78	11	0.8223	10.029
78	149	11	0.816	-10.029
36	73	11	0.8362	12.903
39	73	11	0.8248	17.882
73	157	11	0.8068	-17.882
30	33	11	0.8439	29.955
