cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT
534	281.25871001695725	6.074478	0	0.0	227011.5	0.0	0.0	0	98520.6	40372.4375	51874.975	36243.4875	0	0.0	227011.5	0.0	0.0
535	369.3476031666722	6.0764613	0	0.0	1103381.0625	0.0	0.0	0	478142.6	197962.275	252220.3125	175055.875	0	0.0	1103381.0625	0.0	0.0
536	239.12535294727968	6.120522	0	312356.3275	338660.83	327944.18	331009.2575	0	313418.27	330036.9175	345990.97	320524.4375	0	312356.3275	338660.83	327944.18	331009.2575
537	288.2896507088678	6.1331744	0	406845.8075	476102.71749999997	799613.575	295779.1	0	309170.5425	570716.6224999999	459883.73	638570.3049999999	0	406845.8075	476102.71749999997	799613.575	295779.1
538	191.14306429408705	6.147363	0	425564.2875	416346.3725	429908.93	419619.9375	0	420866.895	435693.655	421746.2025	413132.775	0	425564.2875	416346.3725	429908.93	419619.9375
539	292.2254474095006	6.1744094	0	155267.5675	163680.715	90423.7425	238805.925	0	155711.40000000002	140091.41	148896.505	203478.635	0	155267.5675	163680.715	90423.7425	238805.925
540	252.23217881446183	6.1559	0	292161.8975	380451.0275	291078.6525	436836.1325	0	360407.60250000004	339619.61750000005	362884.69	337615.8	0	292161.8975	380451.0275	291078.6525	436836.1325
541	179.14299912493718	6.157826	0	702224.56	631949.1625	663426.0974999999	631316.1875	0	675512.595	646165.9375	674208.15	633029.325	0	702224.56	631949.1625	663426.0974999999	631316.1875
542	446.2537873096505	6.162129	0	536647.7474999999	446600.6975	338723.935	445746.6875	0	432865.365	383434.065	557685.1375	393734.5	0	536647.7474999999	446600.6975	338723.935	445746.6875
543	415.2115293436124	6.1612706	0	7728672.925	6310806.0	5229637.15	6457402.875	0	6353828.375	5285263.05	7788737.875	6298689.65	0	7728672.925	6310806.0	5229637.15	6457402.875
544	460.26939746038255	6.1612706	0	9302530.0	7119260.375	6092601.9	7859025.5	0	7529902.375	6468118.75	9044299.125	7331097.525	0	9302530.0	7119260.375	6092601.9	7859025.5
