cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT	component	#Scan#	Compound_Name
920	176.12214182294994	8.715018	0	0.0	1095866.84	60350.1375	260665.7875	0	448088.355	150399.975	520822.515	297571.92000000004	0	0.0	1095866.84	60350.1375	260665.7875	2	920.0	ARGININE
921	371.2125778552825	8.712136	0	0.0	669603.625	0.0	0.0	0	205077.275	0.0	386003.5	78522.85	0	0.0	669603.625	0.0	0.0	-1		
922	219.0828779312975	8.717231	0	0.0	630392.17	84755.1175	353822.1125	0	335188.2475	184580.46	283903.5175	265297.175	0	0.0	630392.17	84755.1175	353822.1125	-1		
923	197.1009320565491	8.715796	0	0.0	813520.6599999999	58870.9325	233047.52	0	344029.1825	125386.275	373731.4825	262292.1725	0	0.0	813520.6599999999	58870.9325	233047.52	-1		
924	175.11892555853913	8.717519	0	1211015.6	16662654.25	1521701.82	4574483.75	0	7031208.100000001	3576818.525	8579166.5	4782662.295	0	1211015.6	16662654.25	1521701.82	4574483.75	2	924.0	Massbank:PB000420 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid
925	145.13362727490653	8.750149	0	385296.7425	361761.3525	279481.4925	403022.295	0	382396.3525	373188.9725	275949.845	398026.7125	0	385296.7425	361761.3525	279481.4925	403022.295	22		
926	210.1577264759908	8.7837715	0	2553151.275	0.0	3023538.85	1943670.725	0	2463173.475	1655258.525	1964041.425	1437887.425	0	2553151.275	0.0	3023538.85	1943670.725	-1		
927	1074.3849471916026	8.784777	0	0.0	672462.575	0.0	0.0	0	199716.725	91869.985	231991.6	148884.265	0	0.0	672462.575	0.0	0.0	21		
928	141.13863981321245	8.801934	0	273720.3675	0.0	257693.775	261968.44	0	136830.1825	227096.1525	197939.57	231516.6775	0	273720.3675	0.0	257693.775	261968.44	-1		
929	158.0927328038531	8.863045	0	0.0	287681.225	0.0	0.0	0	78652.375	0.0	142963.175	66065.675	0	0.0	287681.225	0.0	0.0	2		
930	175.1189247573394	8.787639	0	685376.585	11693447.625	1043875.825	3114630.625	0	4793628.15	2737190.31	5783971.45	3222540.75	0	685376.585	11693447.625	1043875.825	3114630.625	2	930.0	Massbank:PB000420 Arginine|2-amino-5-(diaminomethylideneamino)pentanoic acid
931	371.2321939985825	8.864046	0	0.0	163161.515	0.0	0.0	0	0.0	0.0	163161.515	0.0	0	0.0	163161.515	0.0	0.0	-1		
932	415.19612403277694	8.864046	0	0.0	120985.68	0.0	0.0	0	0.0	0.0	120985.68	0.0	0	0.0	120985.68	0.0	0.0	60		
