CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
762	766	4	0.8545	251.884
763	766	4	0.88	-165.925
763	770	4	0.8338	167.923
770	776	4	0.7134	-0.256
757	761	4	0.8993	167.923
760	761	4	0.8449	251.884
761	762	4	0.8021	-335.845
761	763	4	0.8379	81.964
761	764	4	0.9397	83.962
757	763	4	0.7697	249.886
758	763	4	0.7171	-85.960
760	763	4	0.7992	333.848
762	763	4	0.7168	417.809
763	764	4	0.7484	1.998
757	762	4	0.8589	-167.923
760	762	4	0.8674	-83.961
762	764	4	0.8049	419.807
758	760	4	0.7535	-419.807
757	760	4	0.8624	-83.961
407	441	5	0.7117	0.001
441	512	5	0.7144	238.230
494	512	5	0.7866	28.032
20	21	6	0.8235	-2.015
20	22	6	0.7245	-18.010
20	28	6	0.7506	106.079
20	32	6	0.7527	106.115
20	37	6	0.7221	-3.018
14	15	6	0.7207	2.007
14	19	6	0.7859	30.037
14	104	6	0.7549	2.005
15	36	6	0.7185	-9.949
21	36	6	0.7515	-11.963
34	36	6	0.8468	2.016
36	37	6	0.7217	10.960
36	104	6	0.7134	9.947
15	246	6	0.9018	-0.001
19	246	6	0.8014	-28.032
21	246	6	0.7036	-2.016
104	246	6	0.8746	0.000
196	246	6	0.8613	0.000
15	28	6	0.7006	110.109
21	28	6	0.7157	108.094
25	28	6	0.7403	28.031
28	29	6	0.7062	28.031
28	32	6	0.979	0.036
28	734	6	0.8642	100.125
15	19	6	0.8599	28.031
15	21	6	0.7382	2.015
15	22	6	0.7021	-13.980
15	34	6	0.7328	-11.964
15	104	6	0.9498	-0.001
15	196	6	0.9105	-0.001
19	104	6	0.8545	-28.032
21	104	6	0.7044	-2.016
34	104	6	0.7258	11.963
104	196	6	0.8957	0.000
19	196	6	0.7892	-28.032
34	196	6	0.7307	11.963
22	35	6	0.7464	-13.979
34	35	6	0.7592	-15.995
29	38	6	0.7415	-0.036
259	264	6	0.7646	26.016
264	268	6	0.863	2.016
43	259	6	0.7508	210.199
259	268	6	0.7949	28.031
21	32	6	0.7172	108.131
25	32	6	0.7337	28.068
32	734	6	0.8604	100.089
19	22	6	0.7296	-42.011
21	22	6	0.7667	-15.995
22	34	6	0.8382	2.016
22	43	6	0.7788	-43.042
25	29	6	0.8666	56.063
19	21	6	0.7393	-26.016
21	37	6	0.8019	-1.003
268	269	6	0.777	-1.003
19	34	6	0.7045	-39.995
718	1131	7	0.7151	-54.953
1115	1131	7	0.8713	72.954
1130	1131	7	0.9172	-23.016
