#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
808	spectra_filtered.mgf	*..*		:3888	2008	-1	0	237.221	1	0.847748	0	0	12114000.0	184370.0	Spectral Match to Palmitelaidic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf808	-1	GNPS-NIST14-MATCHES.mgf	1.22214				10	0	0.000289917	237.221	0	CCMSLIB00003136495
160	spectra_filtered.mgf	*..*		:209	5583	-1	0	193.068	0	0.84739	0	0	1634260.0	515412.0	Spectral Match to S-(5'-Adenosyl)-L-homocysteine from NIST14 M+2H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf160	-1	GNPS-NIST14-MATCHES.mgf	0.553233				6	0	0.000106812	193.068	0	CCMSLIB00003140070
575	spectra_filtered.mgf	*..*		:42212	54211	-1	0	295.19	1	0.847228	0	0	46170.9	176375.0	Massbank:NA002994 [6]-Gingerol|5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one M+H	MASSBANK	temp/spectra_filtered.mgf575	-1	MASSBANK.mgf	1.24059				8	0	0.000366211	295.19	0	CCMSLIB00005767763
324	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.845825	0	0	73527700.0	257268.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf324	-1	GNPS-LIBRARY.mgf	1.38652				6	0	0.000228882	165.076	0	CCMSLIB00012176426
802	spectra_filtered.mgf	*..*		:1328	1774	-1	0	183.092	0	0.843002	0	0	458535.0	644917.0	HARMANE CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf802	-1	BERKELEY-LAB.mgf	450.2				6	0	0.082428	183.174	0	CCMSLIB00010103762
764	spectra_filtered.mgf	*..*		:2488	33	-1	0	263.237	1	0.842534	0	0	628374.0	205216.0	2,4,6-Tri-tert-butylphenol M+H	ECRFS_DB	temp/spectra_filtered.mgf764	-1	ECRFS_DB.mgf	0.0				9	0	0.0	263.237	0	CCMSLIB00012728788
1073	spectra_filtered.mgf	*..*		:1275	1275	-1	0	799.669	1	0.839676	0	0	630289.0	576144.0	SM(d18:2/23:0); [M+H]+ C46H92N2O6P1 M+H	PNNL-LIPIDS-POSITIVE	temp/spectra_filtered.mgf1073	-1	PNNL-LIPIDS-POSITIVE.mgf	1185.18				6	0	0.947754	800.617	0	CCMSLIB00010056537
255	spectra_filtered.mgf	*..*		:83509	183948	-1	0	155.081	1	0.838847	0	0	161.721	1838800.0	1-Ethyl-3-methyl-1H-pyrazole-4-carboxylic acid [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf255	-1	MSNLIB-POSITIVE.mgf	6583.93				6	0	1.02104	156.102	0	CCMSLIB00012885037
688	spectra_filtered.mgf	*..*		:3488	2003	-1	0	327.337	1	0.838015	0	0	30403900.0	219409.0	putrescine-C16:0 M+H	ECG-ACYL-AMIDES-C4-C24-LIBRARY	temp/spectra_filtered.mgf688	-1	ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf	0.466149				9	0	0.000152588	327.337	0	CCMSLIB00011435466
795	spectra_filtered.mgf	*..*		:2255	326	-1	0	279.231	1	0.834538	0	0	1008200.0	310042.0	Spectral Match to 9(10)-EpOME from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf795	-1	GNPS-NIST14-MATCHES.mgf	3520.72				8	0	0.983093	278.248	0	CCMSLIB00003134812
284	spectra_filtered.mgf	*..*		:1231	1482	-1	0	171.102	1	0.831726	0	0	1028280.0	4424400.0	Spectral Match to Azelaic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf284	-1	GNPS-NIST14-MATCHES.mgf	5753.68				6	0	0.984467	170.118	0	CCMSLIB00003135969
