structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	4	0.098	0.098	-207.214	0.072	0.009	45.444	C29H48O15	[M + H]+	C29H49O15+	JTIAMKZBSXQQDB	InChI=1S/C29H48O15/c1-8-16(6)27(37)42-24-23(40-20(34)9-14(2)3)19(12-31)39-28(25(24)38-17(7)33)44-29(13-32)26(22(36)18(11-30)43-29)41-21(35)10-15(4)5/h14-16,18-19,22-26,28,30-32,36H,8-13H2,1-7H3	Acylsucrose S4:17[2](2,5,5,5)	CCC(C)C(=O)OC1C(C(OC(C1OC(=O)C)OC2(C(C(C(O2)CO)O)OC(=O)CC(C)C)CO)CO)OC(=O)CC(C)C	1.200	91669255	METACYC:(CPD-19049);PLANTCYC:(CPD-19049);PUBCHEM:(91669255);PUBMED:(null)	133186	637.306	29	0.489	839079974832951503	839079604253589298	839079604249394993	27	
1	1	0.062	0.130	-151.787	1.000	0.333	65.449	C24H46O	[M + H3N + H]+	C24H50NO+	FOJRCTPWZIJOIP	InChI=1S/C24H46O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25/h9-10,24H,2-8,11-23H2,1H3	Tetracos-15-enal	CCCCCCCCC=CCCCCCCCCCCCCCC=O	10.500	5283385;21158619;54418176	PUBCHEMANNOTATIONBIO:(null);METACYC:(CPD-14267 CPD-18264);CHEBI:(188177);LIPIDMAPS:(LMFA06000104);PUBCHEM:(5283385 21158619 54418176);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	2197817442	368.389	29	0.490	839079755525363603	839079604400389946	839079604396195641	29	
1	1	0.077	0.077	-369.874	0.958	0.333	74.431	C33H38O6	[M + H3N + H]+	C33H42NO6+	ZSDBFLMJVAGKOU	InChI=1S/C33H38O6/c34-31(22-10-19-27-13-4-1-5-14-27)37-25-30(39-33(36)24-12-21-29-17-8-3-9-18-29)26-38-32(35)23-11-20-28-15-6-2-7-16-28/h1-9,13-18,30H,10-12,19-26H2		C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3	6.700	146047201;146047202;10482134	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00072301);HMDB:(HMDB0252844);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(10482134);CHEBI:(134745);MESH:(10482134);PUBCHEM:(146047201 146047202 10482134);DSSTox:(DTXSID40210005);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137560850542	548.301	29	0.490	839079766384417738	839079604480081726	839079604475887421	30	
1	1	0.611	0.611	-88.071	0.647	0.500	85.471	C26H48O4	[M + H]+	C26H49O4+	HORIEOQXBKUKGQ	InChI=1S/C26H48O4/c1-21(2)15-9-5-7-13-19-29-25(27)23-17-11-12-18-24(23)26(28)30-20-14-8-6-10-16-22(3)4/h21-24H,5-20H2,1-4H3		CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C	8.900	86333316;86333317;86333318;162641171;131708781;11524680	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0448385);NORMAN:(NS00002037);HMDB:(HMDB0244746);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(11524680);SUPERNATURAL:(SN0131339);HSDB:(166412-78-8);MESH:(11524680);PUBCHEM:(86333316 86333317 86333318 162641171 131708781 11524680);DSSTox:(DTXSID20274044);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563996750	425.362	29	0.490	839079947272179054	839079604542996290	839079604538801985	31	
1	1	0.179	0.179	-207.138	0.999	0.333	82.786	C25H46O2	[M + H3N + H]+	C25H50NO2+	PDWAOVVTISKFQS	InChI=1S/C25H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25(26)27/h2-19,22-24H2,1H3,(H,26,27)	5-Pentacosynoic acid	CCCCCCCCCCCCCCCCCCCC#CCCCC(=O)O	10.800	122233426	MESH:(122233426);PUBCHEM:(122233426);PUBMED:(null)	70	396.384	29	0.491	839079747740734508	839079604605910854	839079604605910853	32	
1	1	0.075	0.075	-336.618	0.637	0.500	60.632	C33H38O6	[M + H]+	C33H39O6+	ZSDBFLMJVAGKOU	InChI=1S/C33H38O6/c34-31(22-10-19-27-13-4-1-5-14-27)37-25-30(39-33(36)24-12-21-29-17-8-3-9-18-29)26-38-32(35)23-11-20-28-15-6-2-7-16-28/h1-9,13-18,30H,10-12,19-26H2		C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3	6.700	146047201;146047202;10482134	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00072301);HMDB:(HMDB0252844);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(10482134);CHEBI:(134745);MESH:(10482134);PUBCHEM:(146047201 146047202 10482134);DSSTox:(DTXSID40210005);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137560850542	531.274	29	0.491	839079747216446447	839079604664631114	839079604664631113	33	
1	2	0.261	0.261	-208.135	0.116	0.333	123.428	C34H65NO3	[M - H2O + H]+	C34H64NO2+	GXZJZJIXZPJKKT	InChI=1S/C34H65NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)32(31-36)35-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h15,17,27,29,32-33,36-37H,3-14,16,18-26,28,30-31H2,1-2H3,(H,35,38)	N-(1,3-dihydroxyoctadeca-4,10-dien-2-yl)hexadecanamide	CCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCC=CCCCCCCC)O	11.900	163061764;15922755;85449062	COCONUT:(CNP0351543);SUPERNATURAL:(SN0118343);PUBCHEM:(163061764 15922755 85449062)	3145730	518.493	29	0.491	839079750672553218	839079604731739982	839079604731739981	34	
1	2	0.571	0.571	-122.069	0.034	0.322	103.822	C34H63NO3	[M + H]+	C34H64NO3+	STNMCYGVYVEEFU	InChI=1S/C34H63NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)32(31-36)35-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h15,17,19,21,27,29,32-33,36-37H,3-14,16,18,20,22-26,28,30-31H2,1-2H3,(H,35,38)		CCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCC=CC=CCCCCCCC)O	11.500	85090218;10007284	COCONUT:(CNP0434194);SUPERNATURAL:(SN0354918);PUBCHEM:(85090218 10007284)	3145730	534.489	30	0.493	839079751347836276	839079604786265938	839079604786265937	35	
1	1	0.060	0.060	-141.976	0.789	0.333	114.654	C34H58O2	[M + H3N + H]+	C34H62NO2+	YMAYVRXSCFUSAI	InChI=1S/C34H58O2/c1-10-35-34(36-11-2)33(9)27-17-26-32(8)25-16-23-30(6)20-13-12-19-29(5)22-15-24-31(7)21-14-18-28(3)4/h18-20,24-25,27,34H,10-17,21-23,26H2,1-9H3		CCOC(C(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C)OCC	11.600	140262229	PUBCHEM:(140262229)	2	516.478	30	0.493	839079942423563500	839079604840791894	839079604840791893	36	
1	2	0.469	0.469	-62.440	0.278	0.500	26.325	C25H53N	[M + H]+	C25H54N+	UCYFZDNMZYZSPN	InChI=1S/C25H54N/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26(2,3)4/h5-25H2,1-4H3/q+1	Docosyltrimethylaminium	CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C	9.248	157847	NORMAN:(NS00010072 NS00075799);PUBCHEM:(157847);DSSTox:(DTXSID60436806 DTXSID60884964);MACONDA:(CON00007);PUBMED:(null)	137439216706	368.425	30	0.497	839079748009170000	839079604954038110	839079604954038109	38	
